goos: darwin
goarch: arm64
pkg: mochi/runtime/vm/bench
cpu: Apple M4
BenchmarkVM_Fib-10                	      13	 107138872 ns/op	         2.961 heap-MB	        18.55 sys-MB	 364739465 total-B/op	364739465 B/op	  515558 allocs/op
BenchmarkVM_Fib-10                	      12	  94403833 ns/op	         4.719 heap-MB	        18.55 sys-MB	 364739179 total-B/op	364739178 B/op	  515556 allocs/op
BenchmarkVM_Fib-10                	      13	  88329288 ns/op	         4.625 heap-MB	        18.55 sys-MB	 364739095 total-B/op	364739095 B/op	  515555 allocs/op
BenchmarkVM_Fib-10                	      13	  87275978 ns/op	         3.641 heap-MB	        18.55 sys-MB	 364739044 total-B/op	364739043 B/op	  515555 allocs/op
BenchmarkVM_Fib-10                	      13	  89053747 ns/op	         3.930 heap-MB	        18.55 sys-MB	 364739831 total-B/op	364739831 B/op	  515558 allocs/op
BenchmarkVM_Fib-10                	      13	  87575369 ns/op	         3.414 heap-MB	        18.55 sys-MB	 364739423 total-B/op	364739422 B/op	  515558 allocs/op
BenchmarkVM_Fib-10                	      13	  85978337 ns/op	         3.430 heap-MB	        18.55 sys-MB	 364739113 total-B/op	364739112 B/op	  515556 allocs/op
BenchmarkVM_Fib-10                	      13	  88621154 ns/op	         2.617 heap-MB	        18.55 sys-MB	 364739319 total-B/op	364739319 B/op	  515557 allocs/op
BenchmarkVM_Fib-10                	      13	  93838542 ns/op	         3.109 heap-MB	        18.55 sys-MB	 364739216 total-B/op	364739216 B/op	  515557 allocs/op
BenchmarkVM_Fib-10                	      13	  87936186 ns/op	         3.805 heap-MB	        18.55 sys-MB	 364739406 total-B/op	364739405 B/op	  515558 allocs/op
BenchmarkVM_IterSum-10            	     747	   1519032 ns/op	         2.703 heap-MB	        18.55 sys-MB	      5389 total-B/op	    5389 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	     805	   1485472 ns/op	         2.984 heap-MB	        18.55 sys-MB	      5389 total-B/op	    5389 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	     808	   1555404 ns/op	         2.961 heap-MB	        18.55 sys-MB	      5388 total-B/op	    5388 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	     796	   1498689 ns/op	         2.906 heap-MB	        18.55 sys-MB	      5388 total-B/op	    5388 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	     802	   1508949 ns/op	         2.961 heap-MB	        18.55 sys-MB	      5389 total-B/op	    5389 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	     802	   1518375 ns/op	         2.961 heap-MB	        18.55 sys-MB	      5388 total-B/op	    5388 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	     804	   1560800 ns/op	         2.898 heap-MB	        18.55 sys-MB	      5388 total-B/op	    5387 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	     722	   1607329 ns/op	         2.586 heap-MB	        18.55 sys-MB	      5390 total-B/op	    5389 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	     790	   1485858 ns/op	         2.891 heap-MB	        18.55 sys-MB	      5389 total-B/op	    5389 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	     808	   1508700 ns/op	         2.992 heap-MB	        18.55 sys-MB	      5388 total-B/op	    5388 B/op	       8 allocs/op
