goos: darwin
goarch: arm64
pkg: mochi/runtime/vm/bench
cpu: Apple M4
BenchmarkVM_Fib-10                	      18	  61334877 ns/op	         4.383 heap-MB	        18.27 sys-MB	 364739142 total-B/op	364739142 B/op	  515556 allocs/op
BenchmarkVM_Fib-10                	      19	  60886107 ns/op	         3.508 heap-MB	        18.28 sys-MB	 364738933 total-B/op	364738933 B/op	  515554 allocs/op
BenchmarkVM_Fib-10                	      20	  60577390 ns/op	         4.031 heap-MB	        18.28 sys-MB	 364738986 total-B/op	364738986 B/op	  515554 allocs/op
BenchmarkVM_Fib-10                	      19	  60277500 ns/op	         3.234 heap-MB	        18.28 sys-MB	 364738792 total-B/op	364738791 B/op	  515553 allocs/op
BenchmarkVM_Fib-10                	      19	  62509627 ns/op	         4.281 heap-MB	        26.55 sys-MB	 364739193 total-B/op	364739193 B/op	  515556 allocs/op
BenchmarkVM_Fib-10                	      20	  61439794 ns/op	         2.789 heap-MB	        26.55 sys-MB	 364739388 total-B/op	364739388 B/op	  515556 allocs/op
BenchmarkVM_Fib-10                	      20	  59315067 ns/op	         3.000 heap-MB	        26.55 sys-MB	 364738942 total-B/op	364738941 B/op	  515554 allocs/op
BenchmarkVM_Fib-10                	      19	  58692000 ns/op	         4.477 heap-MB	        26.55 sys-MB	 364739043 total-B/op	364739042 B/op	  515554 allocs/op
BenchmarkVM_Fib-10                	      20	  60340898 ns/op	         4.758 heap-MB	        26.55 sys-MB	 364739048 total-B/op	364739048 B/op	  515555 allocs/op
BenchmarkVM_Fib-10                	      20	  68025346 ns/op	         4.148 heap-MB	        26.55 sys-MB	 364739225 total-B/op	364739225 B/op	  515556 allocs/op
BenchmarkVM_IterSum-10            	    1017	   1169427 ns/op	         3.914 heap-MB	        26.55 sys-MB	      5387 total-B/op	    5387 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	    1520	   1164422 ns/op	         3.430 heap-MB	        26.55 sys-MB	      5388 total-B/op	    5387 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	    1521	   1184683 ns/op	         3.422 heap-MB	        26.55 sys-MB	      5388 total-B/op	    5387 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	    1010	   1177822 ns/op	         3.914 heap-MB	        26.55 sys-MB	      5388 total-B/op	    5387 B/op	       8 allocs/op
