goos: darwin
goarch: arm64
pkg: mochi/runtime/vm/bench
cpu: Apple M4
BenchmarkVM_Fib-10                	      16	  63001211 ns/op	         2.617 heap-MB	        18.28 sys-MB	 364739817 total-B/op	364739817 B/op	  515557 allocs/op
BenchmarkVM_Fib-10                	      19	  62074178 ns/op	         4.492 heap-MB	        18.28 sys-MB	 364738915 total-B/op	364738915 B/op	  515554 allocs/op
BenchmarkVM_Fib-10                	      19	  62100522 ns/op	         4.266 heap-MB	        18.28 sys-MB	 364738974 total-B/op	364738974 B/op	  515554 allocs/op
BenchmarkVM_Fib-10                	      20	  62815498 ns/op	         3.367 heap-MB	        18.28 sys-MB	 364738858 total-B/op	364738858 B/op	  515553 allocs/op
BenchmarkVM_Fib-10                	      19	  58623379 ns/op	         4.672 heap-MB	        18.28 sys-MB	 364738927 total-B/op	364738927 B/op	  515554 allocs/op
BenchmarkVM_Fib-10                	      20	  58705677 ns/op	         3.719 heap-MB	        18.28 sys-MB	 364738981 total-B/op	364738980 B/op	  515554 allocs/op
BenchmarkVM_Fib-10                	      19	  62239754 ns/op	         5.148 heap-MB	        18.28 sys-MB	 364738933 total-B/op	364738933 B/op	  515554 allocs/op
BenchmarkVM_Fib-10                	      20	  63430975 ns/op	         2.914 heap-MB	        18.28 sys-MB	 364739119 total-B/op	364739118 B/op	  515555 allocs/op
BenchmarkVM_Fib-10                	      19	  62501007 ns/op	         4.234 heap-MB	        18.28 sys-MB	 364738974 total-B/op	364738974 B/op	  515554 allocs/op
BenchmarkVM_Fib-10                	      19	  61887680 ns/op	         4.812 heap-MB	        18.28 sys-MB	 364738909 total-B/op	364738909 B/op	  515554 allocs/op
BenchmarkVM_IterSum-10            	    1520	    792669 ns/op	         3.383 heap-MB	        18.28 sys-MB	      5387 total-B/op	    5387 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	    1502	    796259 ns/op	         3.297 heap-MB	        18.28 sys-MB	      5388 total-B/op	    5387 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	    1518	    793385 ns/op	         3.344 heap-MB	        18.28 sys-MB	      5387 total-B/op	    5387 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	    1510	    793332 ns/op	         3.250 heap-MB	        18.28 sys-MB	      5387 total-B/op	    5387 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	    1512	    791879 ns/op	         3.203 heap-MB	        18.28 sys-MB	      5387 total-B/op	    5387 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	    1514	    797014 ns/op	         3.328 heap-MB	        18.28 sys-MB	      5387 total-B/op	    5387 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	    1520	    791972 ns/op	         3.250 heap-MB	        18.28 sys-MB	      5387 total-B/op	    5387 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	     716	   1636691 ns/op	         2.492 heap-MB	        18.28 sys-MB	      5389 total-B/op	    5388 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	    1500	    793018 ns/op	         3.172 heap-MB	        18.28 sys-MB	      5388 total-B/op	    5387 B/op	       8 allocs/op
BenchmarkVM_IterSum-10            	    1512	    800299 ns/op	         3.289 heap-MB	        18.28 sys-MB	      5388 total-B/op	    5387 B/op	       8 allocs/op
BenchmarkVM_MapGet-10             	     864	   1390628 ns/op	         3.281 heap-MB	        18.28 sys-MB	      9070 total-B/op	    9070 B/op	      11 allocs/op
BenchmarkVM_MapGet-10             	     460	   2664377 ns/op	         2.883 heap-MB	        18.28 sys-MB	      9072 total-B/op	    9072 B/op	      11 allocs/op
BenchmarkVM_MapGet-10             	     850	   2593155 ns/op	         3.117 heap-MB	        18.28 sys-MB	      9070 total-B/op	    9070 B/op	      11 allocs/op
BenchmarkVM_MapGet-10             	     866	   1384154 ns/op	         3.234 heap-MB	        18.28 sys-MB	      9071 total-B/op	    9070 B/op	      11 allocs/op
BenchmarkVM_MapGet-10             	     866	   2620975 ns/op	         3.305 heap-MB	        18.28 sys-MB	      9071 total-B/op	    9071 B/op	      11 allocs/op
BenchmarkVM_MapGet-10             	     847	   1408156 ns/op	         3.086 heap-MB	        18.28 sys-MB	      9071 total-B/op	    9070 B/op	      11 allocs/op
